Sequence_ID,EC_Number,PDB_ID,Chain_ID,PDB_Chain,Query_PDB,Template_PDB,RMSD,Aligned_Atoms,Nucleotide_Found,PNG_File,PDB_File
A0PYC8,2.7.1.11,3f5m,A,3f5mA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PYC8_2.7.1.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3f5m_A.pdb,1.529,1443,True,A0PYC8_2.7.1.11_vs_3f5m_A_visualization.png,A0PYC8_2.7.1.11_vs_3f5m_A_aligned.pdb
A1JHZ3,2.7.1.11,3f5m,A,3f5mA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1JHZ3_2.7.1.11.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3f5m_A.pdb,1.381,1129,True,A1JHZ3_2.7.1.11_vs_3f5m_A_visualization.png,A1JHZ3_2.7.1.11_vs_3f5m_A_aligned.pdb
O27764,7.3.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O27764_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.071,622,False,O27764_7.3.2.1_vs_121p_A_visualization.png,O27764_7.3.2.1_vs_121p_A_aligned.pdb
A0QQ70,7.3.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0QQ70_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.819,72,False,A0QQ70_7.3.2.1_vs_121p_A_visualization.png,A0QQ70_7.3.2.1_vs_121p_A_aligned.pdb
O28912,7.3.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O28912_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.842,494,False,O28912_7.3.2.1_vs_121p_A_visualization.png,O28912_7.3.2.1_vs_121p_A_aligned.pdb
A0R4C0,7.3.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0R4C0_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.300,765,False,A0R4C0_7.3.2.1_vs_121p_A_visualization.png,A0R4C0_7.3.2.1_vs_121p_A_aligned.pdb
B8GYG4,7.3.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/B8GYG4_7.3.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,12.821,238,False,B8GYG4_7.3.2.1_vs_121p_A_visualization.png,B8GYG4_7.3.2.1_vs_121p_A_aligned.pdb
A0AJ48,6.1.1.1,1j09,A,1j09A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0AJ48_6.1.1.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1j09_A.pdb,12.214,1116,True,A0AJ48_6.1.1.1_vs_1j09_A_visualization.png,A0AJ48_6.1.1.1_vs_1j09_A_aligned.pdb
A0KFT8,6.1.1.1,1j09,A,1j09A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KFT8_6.1.1.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1j09_A.pdb,15.756,794,True,A0KFT8_6.1.1.1_vs_1j09_A_visualization.png,A0KFT8_6.1.1.1_vs_1j09_A_aligned.pdb
A1A1W2,6.1.1.1,1j09,A,1j09A,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1A1W2_6.1.1.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1j09_A.pdb,20.033,2003,True,A1A1W2_6.1.1.1_vs_1j09_A_visualization.png,A1A1W2_6.1.1.1_vs_1j09_A_aligned.pdb
P53594,6.2.1.9,5dgh,A,5dghA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P53594_6.2.1.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_5dgh_A.pdb,19.276,797,False,P53594_6.2.1.9_vs_5dgh_A_visualization.png,P53594_6.2.1.9_vs_5dgh_A_aligned.pdb
Q9H479,2.7.1.171,3dnt,A,3dntA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q9H479_2.7.1.171.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3dnt_A.pdb,13.860,170,True,Q9H479_2.7.1.171_vs_3dnt_A_visualization.png,Q9H479_2.7.1.171_vs_3dnt_A_aligned.pdb
Q9ER35,2.7.1.171,3dnt,A,3dntA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q9ER35_2.7.1.171.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3dnt_A.pdb,16.797,581,True,Q9ER35_2.7.1.171_vs_3dnt_A_visualization.png,Q9ER35_2.7.1.171_vs_3dnt_A_aligned.pdb
A0KIC9,6.3.3.3,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KIC9_6.3.3.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,3.433,120,False,A0KIC9_6.3.3.3_vs_121p_A_visualization.png,A0KIC9_6.3.3.3_vs_121p_A_aligned.pdb
A0KB04,6.3.3.3,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KB04_6.3.3.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,6.092,173,False,A0KB04_6.3.3.3_vs_121p_A_visualization.png,A0KB04_6.3.3.3_vs_121p_A_aligned.pdb
A0PYU7,6.3.3.3,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PYU7_6.3.3.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,5.609,142,False,A0PYU7_6.3.3.3_vs_121p_A_visualization.png,A0PYU7_6.3.3.3_vs_121p_A_aligned.pdb
A0PP03,6.3.3.3,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0PP03_6.3.3.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,3.400,107,False,A0PP03_6.3.3.3_vs_121p_A_visualization.png,A0PP03_6.3.3.3_vs_121p_A_aligned.pdb
A0M7A5,6.3.3.3,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0M7A5_6.3.3.3.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,9.818,215,False,A0M7A5_6.3.3.3_vs_121p_A_visualization.png,A0M7A5_6.3.3.3_vs_121p_A_aligned.pdb
A0L6E2,2.7.7.4,1mb9,B,1mb9B,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0L6E2_2.7.7.4.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1mb9_B.pdb,20.500,1253,True,A0L6E2_2.7.7.4_vs_1mb9_B_visualization.png,A0L6E2_2.7.7.4_vs_1mb9_B_aligned.pdb
A0KTI2,2.7.7.4,1mb9,B,1mb9B,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KTI2_2.7.7.4.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1mb9_B.pdb,19.470,1462,True,A0KTI2_2.7.7.4_vs_1mb9_B_visualization.png,A0KTI2_2.7.7.4_vs_1mb9_B_aligned.pdb
A0KP36,2.7.7.4,1mb9,B,1mb9B,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KP36_2.7.7.4.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_1mb9_B.pdb,15.874,1383,True,A0KP36_2.7.7.4_vs_1mb9_B_visualization.png,A0KP36_2.7.7.4_vs_1mb9_B_aligned.pdb
P32143,2.7.1.184,2jg1,C,2jg1C,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P32143_2.7.1.184.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_2jg1_C.pdb,5.107,845,False,P32143_2.7.1.184_vs_2jg1_C_visualization.png,P32143_2.7.1.184_vs_2jg1_C_aligned.pdb
A0A2P6MHT4,2.7.1.184,3f5m,A,3f5mA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A2P6MHT4_2.7.1.184.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3f5m_A.pdb,1.725,1246,True,A0A2P6MHT4_2.7.1.184_vs_3f5m_A_visualization.png,A0A2P6MHT4_2.7.1.184_vs_3f5m_A_aligned.pdb
O02827,2.7.11.18,3dnt,A,3dntA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O02827_2.7.11.18.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_3dnt_A.pdb,23.398,950,True,O02827_2.7.11.18_vs_3dnt_A_visualization.png,O02827_2.7.11.18_vs_3dnt_A_aligned.pdb
O27555,7.3.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O27555_7.3.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,20.630,639,False,O27555_7.3.2.7_vs_121p_A_visualization.png,O27555_7.3.2.7_vs_121p_A_aligned.pdb
O66674,7.3.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O66674_7.3.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,16.392,667,False,O66674_7.3.2.7_vs_121p_A_visualization.png,O66674_7.3.2.7_vs_121p_A_aligned.pdb
O66908,7.3.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O66908_7.3.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.017,636,False,O66908_7.3.2.7_vs_121p_A_visualization.png,O66908_7.3.2.7_vs_121p_A_aligned.pdb
A6X051,6.3.5.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A6X051_6.3.5.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.008,613,False,A6X051_6.3.5.9_vs_121p_A_visualization.png,A6X051_6.3.5.9_vs_121p_A_aligned.pdb
P21632,6.3.5.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P21632_6.3.5.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.973,82,False,P21632_6.3.5.9_vs_121p_A_visualization.png,P21632_6.3.5.9_vs_121p_A_aligned.pdb
O68108,6.3.5.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O68108_6.3.5.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,12.062,287,False,O68108_6.3.5.9_vs_121p_A_visualization.png,O68108_6.3.5.9_vs_121p_A_aligned.pdb
A4VJ35,6.3.5.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A4VJ35_6.3.5.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,10.858,576,False,A4VJ35_6.3.5.9_vs_121p_A_visualization.png,A4VJ35_6.3.5.9_vs_121p_A_aligned.pdb
A5VR62,6.3.5.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A5VR62_6.3.5.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,9.931,614,False,A5VR62_6.3.5.9_vs_121p_A_visualization.png,A5VR62_6.3.5.9_vs_121p_A_aligned.pdb
O54457,2.7.9.2,5dgh,A,5dghA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O54457_2.7.9.2.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_5dgh_A.pdb,11.458,325,False,O54457_2.7.9.2_vs_5dgh_A_visualization.png,O54457_2.7.9.2_vs_5dgh_A_aligned.pdb
P44513,7.2.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P44513_7.2.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,21.202,852,False,P44513_7.2.2.7_vs_121p_A_visualization.png,P44513_7.2.2.7_vs_121p_A_aligned.pdb
O86751,7.2.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/O86751_7.2.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,15.737,718,False,O86751_7.2.2.7_vs_121p_A_visualization.png,O86751_7.2.2.7_vs_121p_A_aligned.pdb
P37009,7.2.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P37009_7.2.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,13.603,804,False,P37009_7.2.2.7_vs_121p_A_visualization.png,P37009_7.2.2.7_vs_121p_A_aligned.pdb
P44531,7.2.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P44531_7.2.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.660,751,False,P44531_7.2.2.7_vs_121p_A_visualization.png,P44531_7.2.2.7_vs_121p_A_aligned.pdb
P21410,7.2.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P21410_7.2.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.574,355,False,P21410_7.2.2.7_vs_121p_A_visualization.png,P21410_7.2.2.7_vs_121p_A_aligned.pdb
Q0T7M2,7.6.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q0T7M2_7.6.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.639,70,False,Q0T7M2_7.6.2.7_vs_121p_A_visualization.png,Q0T7M2_7.6.2.7_vs_121p_A_aligned.pdb
Q02SA6,7.6.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q02SA6_7.6.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,18.339,865,False,Q02SA6_7.6.2.7_vs_121p_A_visualization.png,Q02SA6_7.6.2.7_vs_121p_A_aligned.pdb
A0KAV6,7.6.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KAV6_7.6.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,8.312,163,False,A0KAV6_7.6.2.7_vs_121p_A_visualization.png,A0KAV6_7.6.2.7_vs_121p_A_aligned.pdb
Q0TKS1,7.6.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q0TKS1_7.6.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.703,70,False,Q0TKS1_7.6.2.7_vs_121p_A_visualization.png,Q0TKS1_7.6.2.7_vs_121p_A_aligned.pdb
Q0K2U3,7.6.2.7,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q0K2U3_7.6.2.7.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,12.663,840,False,Q0K2U3_7.6.2.7_vs_121p_A_visualization.png,Q0K2U3_7.6.2.7_vs_121p_A_aligned.pdb
P68187,7.5.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P68187_7.5.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.306,69,False,P68187_7.5.2.1_vs_121p_A_visualization.png,P68187_7.5.2.1_vs_121p_A_aligned.pdb
P18813,7.5.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P18813_7.5.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,9.656,210,False,P18813_7.5.2.1_vs_121p_A_visualization.png,P18813_7.5.2.1_vs_121p_A_aligned.pdb
P41124,7.5.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P41124_7.5.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,6.701,83,False,P41124_7.5.2.1_vs_121p_A_visualization.png,P41124_7.5.2.1_vs_121p_A_aligned.pdb
P19566,7.5.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P19566_7.5.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,7.069,190,False,P19566_7.5.2.1_vs_121p_A_visualization.png,P19566_7.5.2.1_vs_121p_A_aligned.pdb
P68188,7.5.2.1,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/P68188_7.5.2.1.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,0.305,69,False,P68188_7.5.2.1_vs_121p_A_visualization.png,P68188_7.5.2.1_vs_121p_A_aligned.pdb
A1A798,3.6.1.41,4lac,C,4lacC,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1A798_3.6.1.41.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_4lac_C.pdb,4.547,765,False,A1A798_3.6.1.41_vs_4lac_C_visualization.png,A1A798_3.6.1.41_vs_4lac_C_aligned.pdb
A0KGT6,3.6.1.41,4lac,C,4lacC,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0KGT6_3.6.1.41.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_4lac_C.pdb,6.878,914,False,A0KGT6_3.6.1.41_vs_4lac_C_visualization.png,A0KGT6_3.6.1.41_vs_4lac_C_aligned.pdb
A0L066,3.6.1.41,4lac,C,4lacC,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0L066_3.6.1.41.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_4lac_C.pdb,8.554,981,False,A0L066_3.6.1.41_vs_4lac_C_visualization.png,A0L066_3.6.1.41_vs_4lac_C_aligned.pdb
A1JJF2,3.6.1.41,4lac,C,4lacC,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1JJF2_3.6.1.41.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_4lac_C.pdb,0.926,275,False,A1JJF2_3.6.1.41_vs_4lac_C_visualization.png,A1JJF2_3.6.1.41_vs_4lac_C_aligned.pdb
A1RMV0,3.6.1.41,4lac,C,4lacC,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A1RMV0_3.6.1.41.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_4lac_C.pdb,6.049,897,False,A1RMV0_3.6.1.41_vs_4lac_C_visualization.png,A1RMV0_3.6.1.41_vs_4lac_C_aligned.pdb
B5Z7I4,7.6.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/B5Z7I4_7.6.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,14.600,550,False,B5Z7I4_7.6.2.9_vs_121p_A_visualization.png,B5Z7I4_7.6.2.9_vs_121p_A_aligned.pdb
Q4FL37,7.6.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/Q4FL37_7.6.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,11.451,894,False,Q4FL37_7.6.2.9_vs_121p_A_visualization.png,Q4FL37_7.6.2.9_vs_121p_A_aligned.pdb
A0A0H2ZLL3,7.6.2.9,121p,A,121pA,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/supfam_pdb_files/A0A0H2ZLL3_7.6.2.9.pdb,/Users/napkin/NTP-Essay-Code-1/NTP-Essay-Code/structure_visualization_output/temp_121p_A.pdb,15.161,591,False,A0A0H2ZLL3_7.6.2.9_vs_121p_A_visualization.png,A0A0H2ZLL3_7.6.2.9_vs_121p_A_aligned.pdb
